iter	RMSE
0	12.40429766
1	12.06985487
2	11.71417906
3	11.32524143
4	11.00025407
5	10.78092209
6	10.45956449
7	10.13403407
8	9.838172976
9	9.559239973
10	9.320937663
11	9.057732764
12	8.772152895
13	8.534235592
14	8.284142972
15	7.997723926
16	7.798588691
17	7.601812179
18	7.377936368
19	7.193050701
20	6.939412456
21	6.799891041
22	6.561812467
23	6.341482861
24	6.170553128
25	6.041747297
26	5.899473225
27	5.753606564
28	5.603785859
29	5.494761276
30	5.337342011
31	5.237031398
32	5.116204747
33	4.9471768
34	4.856888455
35	4.757144988
36	4.603762835
37	4.512322226
38	4.374818938
39	4.286467489
40	4.152947958
41	4.068084251
42	3.944751343
43	3.82635832
44	3.780330261
45	3.708894001
46	3.62592246
47	3.57528867
48	3.506738027
49	3.430318905
50	3.335022418
51	3.267309822
52	3.183277182
53	3.113092747
54	3.074660561
55	3.000775828
56	2.940666764
57	2.873320725
58	2.805009819
59	2.74037788
60	2.693748902
61	2.645024978
62	2.588869317
63	2.545790746
64	2.503257958
65	2.466071648
66	2.431420522
67	2.38595107
68	2.348933147
69	2.327851854
70	2.304004334
71	2.267779164
72	2.239164635
73	2.209229131
74	2.173269486
75	2.147003246
76	2.128460973
77	2.106686086
78	2.086412765
79	2.062389116
80	2.045851944
81	2.023627385
82	2.008103507
83	1.987498536
84	1.972070058
85	1.955619663
86	1.938314641
87	1.92678284
88	1.910442402
89	1.897294616
90	1.885302844
91	1.87066464
92	1.860422072
93	1.851878667
94	1.83799216
95	1.827852718
96	1.817498605
97	1.808821822
98	1.799259779
99	1.786325436
100	1.771249187
101	1.759513693
102	1.747682096
103	1.73950293
104	1.731869107
105	1.721660455
106	1.712038527
107	1.702431227
108	1.693976251
109	1.688970398
110	1.680360157
111	1.670855531
112	1.660791866
113	1.652737584
114	1.642638711
115	1.635783711
116	1.627525174
117	1.623118957
118	1.613455335
119	1.605792823
120	1.60019772
121	1.595360997
122	1.587591154
123	1.581337236
124	1.574926032
125	1.56812205
126	1.561615597
127	1.554401107
128	1.547328194
129	1.538172132
130	1.531554694
131	1.523134816
132	1.514401919
133	1.506743545
134	1.498357776
135	1.490890313
136	1.484516385
137	1.474205465
138	1.46992909
139	1.460546633
140	1.452093683
141	1.444113913
