iter	Passed	Remaining
0	120	60140
1	131	32757
2	140	23233
3	156	19444
4	168	16709
5	170	14052
6	176	12459
7	178	10983
8	180	9829
9	183	8968
10	185	8266
11	187	7644
12	189	7105
13	191	6630
14	193	6247
15	195	5923
16	198	5629
17	204	5467
18	208	5267
19	209	5037
20	211	4825
21	214	4654
22	216	4487
23	219	4346
24	220	4184
25	221	4045
26	223	3908
27	224	3781
28	225	3660
29	226	3547
30	227	3439
31	228	3340
32	231	3272
33	233	3201
34	235	3133
35	238	3068
36	239	2999
37	241	2931
38	242	2861
39	243	2795
40	244	2735
41	245	2674
42	246	2616
43	247	2562
44	247	2502
45	248	2452
46	254	2450
47	256	2410
48	257	2371
49	259	2331
50	260	2292
51	261	2254
52	262	2216
53	264	2186
54	266	2152
55	267	2118
56	268	2090
57	270	2059
58	271	2029
59	275	2020
60	277	1998
61	279	1974
62	281	1950
63	282	1927
64	284	1906
65	286	1883
66	287	1857
67	288	1833
68	290	1812
69	291	1790
70	295	1787
71	297	1769
72	298	1746
73	299	1724
74	301	1705
75	302	1687
76	303	1668
77	304	1649
78	305	1630
79	307	1612
80	308	1596
81	309	1578
82	312	1570
83	314	1555
84	315	1540
85	316	1524
86	317	1508
87	318	1493
88	320	1479
89	321	1464
90	322	1449
91	323	1434
92	324	1420
93	325	1405
94	326	1391
95	327	1377
96	328	1364
97	329	1350
98	330	1337
99	331	1324
100	332	1312
101	333	1299
102	334	1287
103	337	1284
104	338	1273
105	339	1262
106	340	1250
107	341	1239
108	342	1228
109	343	1217
110	344	1207
111	345	1196
112	346	1186
113	347	1176
114	348	1166
115	349	1157
116	350	1147
117	351	1137
118	352	1127
119	353	1118
120	354	1109
121	355	1101
122	356	1092
123	358	1086
124	360	1080
125	362	1074
126	363	1067
127	365	1061
128	366	1055
129	367	1047
130	369	1039
131	370	1032
132	371	1025
133	372	1017
134	373	1010
135	374	1002
136	376	996
137	377	990
138	378	984
139	380	977
140	381	971
141	382	964
142	383	958
143	385	951
144	386	945
145	387	939
146	388	933
147	390	928
148	391	922
149	394	919
150	396	917
151	398	912
152	400	907
153	401	901
154	402	895
155	403	889
156	404	883
157	405	877
158	406	872
159	407	866
160	409	861
161	410	856
162	411	851
163	412	846
164	414	841
165	415	836
166	416	830
167	421	833
168	425	832
169	431	837
170	434	836
171	435	831
172	439	829
173	440	825
174	442	821
175	444	818
176	445	813
177	446	808
178	448	804
179	449	799
180	451	795
181	452	790
182	453	786
183	455	781
184	456	777
185	457	772
186	458	767
187	459	763
188	461	759
189	462	755
190	464	750
191	465	747
192	467	743
193	468	739
194	470	735
195	471	731
196	472	727
197	474	723
198	475	718
199	476	714
200	477	710
201	478	705
202	479	701
203	480	697
